original_path,distorted_path,family,member,distortion_type,seed,mean_disp,max_disp,param_alpha,param_sigma,param_grid_step
data/split/train/FAMILY-1/CHILD/FM001_C5.png,data/train_distorted/distorted/FAMILY-1/CHILD/FM001_C5_bending.png,FAMILY-1,CHILD,bending,4200042,6.66,11.56,,,
data/split/train/FAMILY-1/FATHER/FM001_F1.png,data/train_distorted/distorted/FAMILY-1/FATHER/FM001_F1_elastic.png,FAMILY-1,FATHER,elastic,4200050,7.96,19.57,13.129,5.357,32
data/split/train/FAMILY-1/FATHER/FM001_F1.png,data/train_distorted/distorted/FAMILY-1/FATHER/FM001_F1_local.png,FAMILY-1,FATHER,local,4200051,3.76,8.48,,,
data/split/train/FAMILY-1/FATHER/FM001_F1.png,data/train_distorted/distorted/FAMILY-1/FATHER/FM001_F1_bending.png,FAMILY-1,FATHER,bending,4200052,7.14,12.7,,,
data/split/train/FAMILY-1/FATHER/FM001_F2.png,data/train_distorted/distorted/FAMILY-1/FATHER/FM001_F2_elastic.png,FAMILY-1,FATHER,elastic,4200060,6.59,17.86,12.275,7.609,32
data/split/train/FAMILY-1/FATHER/FM001_F2.png,data/train_distorted/distorted/FAMILY-1/FATHER/FM001_F2_local.png,FAMILY-1,FATHER,local,4200061,4.63,11.96,,,
data/split/train/FAMILY-1/FATHER/FM001_F2.png,data/train_distorted/distorted/FAMILY-1/FATHER/FM001_F2_bending.png,FAMILY-1,FATHER,bending,4200062,4.84,8.05,,,
data/split/train/FAMILY-1/FATHER/FM001_F3.png,data/train_distorted/distorted/FAMILY-1/FATHER/FM001_F3_elastic.png,FAMILY-1,FATHER,elastic,4200070,6.35,14.52,11.27,5.214,32
data/split/train/FAMILY-1/FATHER/FM001_F3.png,data/train_distorted/distorted/FAMILY-1/FATHER/FM001_F3_local.png,FAMILY-1,FATHER,local,4200071,4.11,10.32,,,
data/split/train/FAMILY-1/FATHER/FM001_F3.png,data/train_distorted/distorted/FAMILY-1/FATHER/FM001_F3_bending.png,FAMILY-1,FATHER,bending,4200072,6.63,11.06,,,
data/split/train/FAMILY-1/FATHER/FM001_F4.png,data/train_distorted/distorted/FAMILY-1/FATHER/FM001_F4_elastic.png,FAMILY-1,FATHER,elastic,4200080,7.74,20.93,14.491,7.146,32
data/split/train/FAMILY-1/FATHER/FM001_F4.png,data/train_distorted/distorted/FAMILY-1/FATHER/FM001_F4_local.png,FAMILY-1,FATHER,local,4200081,4.94,10.38,,,
data/split/train/FAMILY-1/FATHER/FM001_F4.png,data/train_distorted/distorted/FAMILY-1/FATHER/FM001_F4_bending.png,FAMILY-1,FATHER,bending,4200082,6.09,11.13,,,
data/split/train/FAMILY-1/FATHER/FM001_F5.png,data/train_distorted/distorted/FAMILY-1/FATHER/FM001_F5_elastic.png,FAMILY-1,FATHER,elastic,4200090,7.5,19.06,14.839,7.613,32
data/split/train/FAMILY-1/FATHER/FM001_F5.png,data/train_distorted/distorted/FAMILY-1/FATHER/FM001_F5_local.png,FAMILY-1,FATHER,local,4200091,4.68,11.22,,,
data/split/train/FAMILY-1/FATHER/FM001_F5.png,data/train_distorted/distorted/FAMILY-1/FATHER/FM001_F5_bending.png,FAMILY-1,FATHER,bending,4200092,6.14,10.41,,,
data/split/train/FAMILY-1/MOTHER/FM001_M1.png,data/train_distorted/distorted/FAMILY-1/MOTHER/FM001_M1_elastic.png,FAMILY-1,MOTHER,elastic,4200100,8.51,19.82,14.593,5.721,32
data/split/train/FAMILY-1/MOTHER/FM001_M1.png,data/train_distorted/distorted/FAMILY-1/MOTHER/FM001_M1_local.png,FAMILY-1,MOTHER,local,4200101,4.76,10.4,,,
data/split/train/FAMILY-1/MOTHER/FM001_M1.png,data/train_distorted/distorted/FAMILY-1/MOTHER/FM001_M1_bending.png,FAMILY-1,MOTHER,bending,4200102,3.39,6.05,,,
data/split/train/FAMILY-1/MOTHER/FM001_M2.png,data/train_distorted/distorted/FAMILY-1/MOTHER/FM001_M2_elastic.png,FAMILY-1,MOTHER,elastic,4200110,6.18,14.28,12.365,7.57,32
data/split/train/FAMILY-1/MOTHER/FM001_M2.png,data/train_distorted/distorted/FAMILY-1/MOTHER/FM001_M2_local.png,FAMILY-1,MOTHER,local,4200111,4.06,8.99,,,
data/split/train/FAMILY-1/MOTHER/FM001_M2.png,data/train_distorted/distorted/FAMILY-1/MOTHER/FM001_M2_bending.png,FAMILY-1,MOTHER,bending,4200112,7.17,13.19,,,
data/split/train/FAMILY-1/MOTHER/FM001_M3.png,data/train_distorted/distorted/FAMILY-1/MOTHER/FM001_M3_elastic.png,FAMILY-1,MOTHER,elastic,4200120,7.8,18.57,14.865,7.626,32
data/split/train/FAMILY-1/MOTHER/FM001_M3.png,data/train_distorted/distorted/FAMILY-1/MOTHER/FM001_M3_local.png,FAMILY-1,MOTHER,local,4200121,3.82,9.42,,,
data/split/train/FAMILY-1/MOTHER/FM001_M3.png,data/train_distorted/distorted/FAMILY-1/MOTHER/FM001_M3_bending.png,FAMILY-1,MOTHER,bending,4200122,4.15,7.55,,,
data/split/train/FAMILY-1/MOTHER/FM001_M4.png,data/train_distorted/distorted/FAMILY-1/MOTHER/FM001_M4_elastic.png,FAMILY-1,MOTHER,elastic,4200130,7.42,20.0,13.314,7.932,32
data/split/train/FAMILY-1/MOTHER/FM001_M4.png,data/train_distorted/distorted/FAMILY-1/MOTHER/FM001_M4_local.png,FAMILY-1,MOTHER,local,4200131,4.5,10.76,,,
data/split/train/FAMILY-1/MOTHER/FM001_M4.png,data/train_distorted/distorted/FAMILY-1/MOTHER/FM001_M4_bending.png,FAMILY-1,MOTHER,bending,4200132,3.47,5.95,,,
data/split/train/FAMILY-1/MOTHER/FM001_M5.png,data/train_distorted/distorted/FAMILY-1/MOTHER/FM001_M5_elastic.png,FAMILY-1,MOTHER,elastic,4200140,7.75,22.41,15.838,7.684,32
data/split/train/FAMILY-1/MOTHER/FM001_M5.png,data/train_distorted/distorted/FAMILY-1/MOTHER/FM001_M5_local.png,FAMILY-1,MOTHER,local,4200141,4.9,11.93,,,
data/split/train/FAMILY-1/MOTHER/FM001_M5.png,data/train_distorted/distorted/FAMILY-1/MOTHER/FM001_M5_bending.png,FAMILY-1,MOTHER,bending,4200142,5.94,10.37,,,
data/split/train/FAMILY-10/CHILD/FM010_C1.png,data/train_distorted/distorted/FAMILY-10/CHILD/FM010_C1_elastic.png,FAMILY-10,CHILD,elastic,4200150,7.39,17.21,13.739,7.664,32
data/split/train/FAMILY-10/CHILD/FM010_C1.png,data/train_distorted/distorted/FAMILY-10/CHILD/FM010_C1_local.png,FAMILY-10,CHILD,local,4200151,3.58,7.54,,,
data/split/train/FAMILY-10/CHILD/FM010_C1.png,data/train_distorted/distorted/FAMILY-10/CHILD/FM010_C1_bending.png,FAMILY-10,CHILD,bending,4200152,4.33,7.71,,,
data/split/train/FAMILY-10/CHILD/FM010_C2.png,data/train_distorted/distorted/FAMILY-10/CHILD/FM010_C2_elastic.png,FAMILY-10,CHILD,elastic,4200160,5.75,13.63,10.179,7.991,32
data/split/train/FAMILY-10/CHILD/FM010_C2.png,data/train_distorted/distorted/FAMILY-10/CHILD/FM010_C2_local.png,FAMILY-10,CHILD,local,4200161,2.43,4.69,,,
data/split/train/FAMILY-10/CHILD/FM010_C2.png,data/train_distorted/distorted/FAMILY-10/CHILD/FM010_C2_bending.png,FAMILY-10,CHILD,bending,4200162,3.32,5.71,,,
data/split/train/FAMILY-10/CHILD/FM010_C3.png,data/train_distorted/distorted/FAMILY-10/CHILD/FM010_C3_elastic.png,FAMILY-10,CHILD,elastic,4200170,6.86,14.9,12.503,6.44,32
data/split/train/FAMILY-10/CHILD/FM010_C3.png,data/train_distorted/distorted/FAMILY-10/CHILD/FM010_C3_local.png,FAMILY-10,CHILD,local,4200171,4.8,11.34,,,
data/split/train/FAMILY-10/CHILD/FM010_C3.png,data/train_distorted/distorted/FAMILY-10/CHILD/FM010_C3_bending.png,FAMILY-10,CHILD,bending,4200172,6.49,11.06,,,
data/split/train/FAMILY-10/CHILD/FM010_C4.png,data/train_distorted/distorted/FAMILY-10/CHILD/FM010_C4_elastic.png,FAMILY-10,CHILD,elastic,4200180,6.08,15.48,12.66,7.896,32
data/split/train/FAMILY-10/CHILD/FM010_C4.png,data/train_distorted/distorted/FAMILY-10/CHILD/FM010_C4_local.png,FAMILY-10,CHILD,local,4200181,4.48,10.81,,,
data/split/train/FAMILY-10/CHILD/FM010_C4.png,data/train_distorted/distorted/FAMILY-10/CHILD/FM010_C4_bending.png,FAMILY-10,CHILD,bending,4200182,4.68,8.26,,,
data/split/train/FAMILY-10/CHILD/FM010_C5.png,data/train_distorted/distorted/FAMILY-10/CHILD/FM010_C5_elastic.png,FAMILY-10,CHILD,elastic,4200190,5.1,12.08,9.669,7.495,32
data/split/train/FAMILY-10/CHILD/FM010_C5.png,data/train_distorted/distorted/FAMILY-10/CHILD/FM010_C5_local.png,FAMILY-10,CHILD,local,4200191,4.7,9.34,,,
data/split/train/FAMILY-10/CHILD/FM010_C5.png,data/train_distorted/distorted/FAMILY-10/CHILD/FM010_C5_bending.png,FAMILY-10,CHILD,bending,4200192,4.82,8.05,,,
data/split/train/FAMILY-10/FATHER/FM010_F1.png,data/train_distorted/distorted/FAMILY-10/FATHER/FM010_F1_elastic.png,FAMILY-10,FATHER,elastic,4200200,6.53,18.67,12.3,7.791,32
data/split/train/FAMILY-10/FATHER/FM010_F1.png,data/train_distorted/distorted/FAMILY-10/FATHER/FM010_F1_local.png,FAMILY-10,FATHER,local,4200201,3.51,9.16,,,
data/split/train/FAMILY-10/FATHER/FM010_F1.png,data/train_distorted/distorted/FAMILY-10/FATHER/FM010_F1_bending.png,FAMILY-10,FATHER,bending,4200202,5.12,8.94,,,
data/split/train/FAMILY-10/FATHER/FM010_F2.png,data/train_distorted/distorted/FAMILY-10/FATHER/FM010_F2_elastic.png,FAMILY-10,FATHER,elastic,4200210,6.46,14.08,9.904,5.359,32
data/split/train/FAMILY-10/FATHER/FM010_F2.png,data/train_distorted/distorted/FAMILY-10/FATHER/FM010_F2_local.png,FAMILY-10,FATHER,local,4200211,4.08,9.79,,,
data/split/train/FAMILY-10/FATHER/FM010_F2.png,data/train_distorted/distorted/FAMILY-10/FATHER/FM010_F2_bending.png,FAMILY-10,FATHER,bending,4200212,5.25,9.07,,,
data/split/train/FAMILY-10/FATHER/FM010_F3.png,data/train_distorted/distorted/FAMILY-10/FATHER/FM010_F3_elastic.png,FAMILY-10,FATHER,elastic,4200220,7.93,19.65,13.776,5.499,32
data/split/train/FAMILY-10/FATHER/FM010_F3.png,data/train_distorted/distorted/FAMILY-10/FATHER/FM010_F3_local.png,FAMILY-10,FATHER,local,4200221,2.69,6.33,,,
data/split/train/FAMILY-10/FATHER/FM010_F3.png,data/train_distorted/distorted/FAMILY-10/FATHER/FM010_F3_bending.png,FAMILY-10,FATHER,bending,4200222,6.16,10.68,,,
data/split/train/FAMILY-10/FATHER/FM010_F4.png,data/train_distorted/distorted/FAMILY-10/FATHER/FM010_F4_elastic.png,FAMILY-10,FATHER,elastic,4200230,5.81,16.7,9.934,5.151,32
data/split/train/FAMILY-10/FATHER/FM010_F4.png,data/train_distorted/distorted/FAMILY-10/FATHER/FM010_F4_local.png,FAMILY-10,FATHER,local,4200231,4.36,8.74,,,
data/split/train/FAMILY-10/FATHER/FM010_F4.png,data/train_distorted/distorted/FAMILY-10/FATHER/FM010_F4_bending.png,FAMILY-10,FATHER,bending,4200232,6.38,10.77,,,
data/split/train/FAMILY-10/FATHER/FM010_F5.png,data/train_distorted/distorted/FAMILY-10/FATHER/FM010_F5_elastic.png,FAMILY-10,FATHER,elastic,4200240,7.08,17.38,14.048,7.589,32
data/split/train/FAMILY-10/FATHER/FM010_F5.png,data/train_distorted/distorted/FAMILY-10/FATHER/FM010_F5_local.png,FAMILY-10,FATHER,local,4200241,4.6,10.95,,,
data/split/train/FAMILY-10/FATHER/FM010_F5.png,data/train_distorted/distorted/FAMILY-10/FATHER/FM010_F5_bending.png,FAMILY-10,FATHER,bending,4200242,3.52,5.86,,,
data/split/train/FAMILY-10/MOTHER/FM010_M1.png,data/train_distorted/distorted/FAMILY-10/MOTHER/FM010_M1_elastic.png,FAMILY-10,MOTHER,elastic,4200250,8.29,21.22,14.28,5.826,32
data/split/train/FAMILY-10/MOTHER/FM010_M1.png,data/train_distorted/distorted/FAMILY-10/MOTHER/FM010_M1_local.png,FAMILY-10,MOTHER,local,4200251,5.1,10.64,,,
data/split/train/FAMILY-10/MOTHER/FM010_M1.png,data/train_distorted/distorted/FAMILY-10/MOTHER/FM010_M1_bending.png,FAMILY-10,MOTHER,bending,4200252,6.34,10.59,,,
data/split/train/FAMILY-10/MOTHER/FM010_M2.png,data/train_distorted/distorted/FAMILY-10/MOTHER/FM010_M2_elastic.png,FAMILY-10,MOTHER,elastic,4200260,5.91,15.7,10.48,5.125,32
data/split/train/FAMILY-10/MOTHER/FM010_M2.png,data/train_distorted/distorted/FAMILY-10/MOTHER/FM010_M2_local.png,FAMILY-10,MOTHER,local,4200261,4.19,9.41,,,
data/split/train/FAMILY-10/MOTHER/FM010_M2.png,data/train_distorted/distorted/FAMILY-10/MOTHER/FM010_M2_bending.png,FAMILY-10,MOTHER,bending,4200262,6.91,12.55,,,
data/split/train/FAMILY-10/MOTHER/FM010_M3.png,data/train_distorted/distorted/FAMILY-10/MOTHER/FM010_M3_elastic.png,FAMILY-10,MOTHER,elastic,4200270,5.25,14.93,9.699,5.81,32
data/split/train/FAMILY-10/MOTHER/FM010_M3.png,data/train_distorted/distorted/FAMILY-10/MOTHER/FM010_M3_local.png,FAMILY-10,MOTHER,local,4200271,3.63,7.6,,,
data/split/train/FAMILY-10/MOTHER/FM010_M3.png,data/train_distorted/distorted/FAMILY-10/MOTHER/FM010_M3_bending.png,FAMILY-10,MOTHER,bending,4200272,5.92,10.33,,,
data/split/train/FAMILY-10/MOTHER/FM010_M4.png,data/train_distorted/distorted/FAMILY-10/MOTHER/FM010_M4_elastic.png,FAMILY-10,MOTHER,elastic,4200280,5.87,14.18,9.798,6.373,32
data/split/train/FAMILY-10/MOTHER/FM010_M4.png,data/train_distorted/distorted/FAMILY-10/MOTHER/FM010_M4_local.png,FAMILY-10,MOTHER,local,4200281,3.72,8.09,,,
data/split/train/FAMILY-10/MOTHER/FM010_M4.png,data/train_distorted/distorted/FAMILY-10/MOTHER/FM010_M4_bending.png,FAMILY-10,MOTHER,bending,4200282,4.37,7.57,,,
data/split/train/FAMILY-10/MOTHER/FM010_M5.png,data/train_distorted/distorted/FAMILY-10/MOTHER/FM010_M5_elastic.png,FAMILY-10,MOTHER,elastic,4200290,8.11,21.55,14.143,6.446,32
data/split/train/FAMILY-10/MOTHER/FM010_M5.png,data/train_distorted/distorted/FAMILY-10/MOTHER/FM010_M5_local.png,FAMILY-10,MOTHER,local,4200291,3.37,7.87,,,
data/split/train/FAMILY-10/MOTHER/FM010_M5.png,data/train_distorted/distorted/FAMILY-10/MOTHER/FM010_M5_bending.png,FAMILY-10,MOTHER,bending,4200292,3.72,6.51,,,
data/split/train/FAMILY-100/CHILD/FM100_C1.png,data/train_distorted/distorted/FAMILY-100/CHILD/FM100_C1_elastic.png,FAMILY-100,CHILD,elastic,4200300,6.99,16.72,11.415,6.116,32
data/split/train/FAMILY-100/CHILD/FM100_C1.png,data/train_distorted/distorted/FAMILY-100/CHILD/FM100_C1_local.png,FAMILY-100,CHILD,local,4200301,3.49,8.01,,,
data/split/train/FAMILY-100/CHILD/FM100_C1.png,data/train_distorted/distorted/FAMILY-100/CHILD/FM100_C1_bending.png,FAMILY-100,CHILD,bending,4200302,7.05,12.16,,,
data/split/train/FAMILY-100/CHILD/FM100_C2.png,data/train_distorted/distorted/FAMILY-100/CHILD/FM100_C2_elastic.png,FAMILY-100,CHILD,elastic,4200310,6.6,14.38,11.509,5.735,32
data/split/train/FAMILY-100/CHILD/FM100_C2.png,data/train_distorted/distorted/FAMILY-100/CHILD/FM100_C2_local.png,FAMILY-100,CHILD,local,4200311,2.7,5.44,,,
data/split/train/FAMILY-100/CHILD/FM100_C2.png,data/train_distorted/distorted/FAMILY-100/CHILD/FM100_C2_bending.png,FAMILY-100,CHILD,bending,4200312,5.81,10.66,,,
data/split/train/FAMILY-100/CHILD/FM100_C3.png,data/train_distorted/distorted/FAMILY-100/CHILD/FM100_C3_elastic.png,FAMILY-100,CHILD,elastic,4200320,7.56,16.57,13.141,7.199,32
data/split/train/FAMILY-100/CHILD/FM100_C3.png,data/train_distorted/distorted/FAMILY-100/CHILD/FM100_C3_local.png,FAMILY-100,CHILD,local,4200321,4.42,9.97,,,
data/split/train/FAMILY-100/CHILD/FM100_C3.png,data/train_distorted/distorted/FAMILY-100/CHILD/FM100_C3_bending.png,FAMILY-100,CHILD,bending,4200322,4.71,8.7,,,
data/split/train/FAMILY-100/CHILD/FM100_C4.png,data/train_distorted/distorted/FAMILY-100/CHILD/FM100_C4_elastic.png,FAMILY-100,CHILD,elastic,4200330,7.51,17.11,13.951,6.477,32
data/split/train/FAMILY-100/CHILD/FM100_C4.png,data/train_distorted/distorted/FAMILY-100/CHILD/FM100_C4_local.png,FAMILY-100,CHILD,local,4200331,2.64,6.72,,,
data/split/train/FAMILY-100/CHILD/FM100_C4.png,data/train_distorted/distorted/FAMILY-100/CHILD/FM100_C4_bending.png,FAMILY-100,CHILD,bending,4200332,4.85,8.47,,,
data/split/train/FAMILY-100/CHILD/FM100_C5.png,data/train_distorted/distorted/FAMILY-100/CHILD/FM100_C5_elastic.png,FAMILY-100,CHILD,elastic,4200340,8.83,19.9,15.166,6.096,32
data/split/train/FAMILY-100/CHILD/FM100_C5.png,data/train_distorted/distorted/FAMILY-100/CHILD/FM100_C5_local.png,FAMILY-100,CHILD,local,4200341,3.13,5.65,,,
data/split/train/FAMILY-100/CHILD/FM100_C5.png,data/train_distorted/distorted/FAMILY-100/CHILD/FM100_C5_bending.png,FAMILY-100,CHILD,bending,4200342,4.92,8.92,,,
data/split/train/FAMILY-100/FATHER/FM100_F1.png,data/train_distorted/distorted/FAMILY-100/FATHER/FM100_F1_elastic.png,FAMILY-100,FATHER,elastic,4200350,7.2,20.81,13.948,7.448,32
data/split/train/FAMILY-100/FATHER/FM100_F1.png,data/train_distorted/distorted/FAMILY-100/FATHER/FM100_F1_local.png,FAMILY-100,FATHER,local,4200351,3.68,7.75,,,
data/split/train/FAMILY-100/FATHER/FM100_F1.png,data/train_distorted/distorted/FAMILY-100/FATHER/FM100_F1_bending.png,FAMILY-100,FATHER,bending,4200352,4.08,7.4,,,
data/split/train/FAMILY-100/FATHER/FM100_F2.png,data/train_distorted/distorted/FAMILY-100/FATHER/FM100_F2_elastic.png,FAMILY-100,FATHER,elastic,4200360,7.2,18.47,13.254,7.7,32
data/split/train/FAMILY-100/FATHER/FM100_F2.png,data/train_distorted/distorted/FAMILY-100/FATHER/FM100_F2_local.png,FAMILY-100,FATHER,local,4200361,3.58,7.97,,,
data/split/train/FAMILY-100/FATHER/FM100_F2.png,data/train_distorted/distorted/FAMILY-100/FATHER/FM100_F2_bending.png,FAMILY-100,FATHER,bending,4200362,5.44,9.16,,,
data/split/train/FAMILY-100/FATHER/FM100_F3.png,data/train_distorted/distorted/FAMILY-100/FATHER/FM100_F3_elastic.png,FAMILY-100,FATHER,elastic,4200370,6.72,16.65,11.277,7.087,32
data/split/train/FAMILY-100/FATHER/FM100_F3.png,data/train_distorted/distorted/FAMILY-100/FATHER/FM100_F3_local.png,FAMILY-100,FATHER,local,4200371,4.4,9.64,,,
data/split/train/FAMILY-100/FATHER/FM100_F3.png,data/train_distorted/distorted/FAMILY-100/FATHER/FM100_F3_bending.png,FAMILY-100,FATHER,bending,4200372,3.96,6.65,,,
data/split/train/FAMILY-100/FATHER/FM100_F4.png,data/train_distorted/distorted/FAMILY-100/FATHER/FM100_F4_elastic.png,FAMILY-100,FATHER,elastic,4200380,7.83,18.77,14.765,7.213,32
data/split/train/FAMILY-100/FATHER/FM100_F4.png,data/train_distorted/distorted/FAMILY-100/FATHER/FM100_F4_local.png,FAMILY-100,FATHER,local,4200381,2.82,7.67,,,
data/split/train/FAMILY-100/FATHER/FM100_F4.png,data/train_distorted/distorted/FAMILY-100/FATHER/FM100_F4_bending.png,FAMILY-100,FATHER,bending,4200382,5.92,9.87,,,
data/split/train/FAMILY-100/FATHER/FM100_F5.png,data/train_distorted/distorted/FAMILY-100/FATHER/FM100_F5_elastic.png,FAMILY-100,FATHER,elastic,4200390,4.78,12.1,8.614,6.341,32
data/split/train/FAMILY-100/FATHER/FM100_F5.png,data/train_distorted/distorted/FAMILY-100/FATHER/FM100_F5_local.png,FAMILY-100,FATHER,local,4200391,2.91,7.66,,,
data/split/train/FAMILY-100/FATHER/FM100_F5.png,data/train_distorted/distorted/FAMILY-100/FATHER/FM100_F5_bending.png,FAMILY-100,FATHER,bending,4200392,6.51,10.83,,,
data/split/train/FAMILY-100/MOTHER/FM100_M1.png,data/train_distorted/distorted/FAMILY-100/MOTHER/FM100_M1_elastic.png,FAMILY-100,MOTHER,elastic,4200400,6.49,17.71,11.338,7.467,32
data/split/train/FAMILY-100/MOTHER/FM100_M1.png,data/train_distorted/distorted/FAMILY-100/MOTHER/FM100_M1_local.png,FAMILY-100,MOTHER,local,4200401,4.31,9.7,,,
data/split/train/FAMILY-100/MOTHER/FM100_M1.png,data/train_distorted/distorted/FAMILY-100/MOTHER/FM100_M1_bending.png,FAMILY-100,MOTHER,bending,4200402,3.93,7.15,,,
data/split/train/FAMILY-100/MOTHER/FM100_M2.png,data/train_distorted/distorted/FAMILY-100/MOTHER/FM100_M2_elastic.png,FAMILY-100,MOTHER,elastic,4200410,9.15,24.6,15.546,6.171,32
data/split/train/FAMILY-100/MOTHER/FM100_M2.png,data/train_distorted/distorted/FAMILY-100/MOTHER/FM100_M2_local.png,FAMILY-100,MOTHER,local,4200411,3.66,9.29,,,
data/split/train/FAMILY-100/MOTHER/FM100_M2.png,data/train_distorted/distorted/FAMILY-100/MOTHER/FM100_M2_bending.png,FAMILY-100,MOTHER,bending,4200412,4.17,7.11,,,
data/split/train/FAMILY-100/MOTHER/FM100_M3.png,data/train_distorted/distorted/FAMILY-100/MOTHER/FM100_M3_elastic.png,FAMILY-100,MOTHER,elastic,4200420,6.04,15.97,11.093,5.434,32
data/split/train/FAMILY-100/MOTHER/FM100_M3.png,data/train_distorted/distorted/FAMILY-100/MOTHER/FM100_M3_local.png,FAMILY-100,MOTHER,local,4200421,5.47,11.72,,,
data/split/train/FAMILY-100/MOTHER/FM100_M3.png,data/train_distorted/distorted/FAMILY-100/MOTHER/FM100_M3_bending.png,FAMILY-100,MOTHER,bending,4200422,4.73,7.93,,,
data/split/train/FAMILY-100/MOTHER/FM100_M4.png,data/train_distorted/distorted/FAMILY-100/MOTHER/FM100_M4_elastic.png,FAMILY-100,MOTHER,elastic,4200430,4.48,11.19,8.503,6.503,32
data/split/train/FAMILY-100/MOTHER/FM100_M4.png,data/train_distorted/distorted/FAMILY-100/MOTHER/FM100_M4_local.png,FAMILY-100,MOTHER,local,4200431,2.75,5.96,,,
data/split/train/FAMILY-100/MOTHER/FM100_M4.png,data/train_distorted/distorted/FAMILY-100/MOTHER/FM100_M4_bending.png,FAMILY-100,MOTHER,bending,4200432,6.39,11.51,,,
data/split/train/FAMILY-100/MOTHER/FM100_M5.png,data/train_distorted/distorted/FAMILY-100/MOTHER/FM100_M5_elastic.png,FAMILY-100,MOTHER,elastic,4200440,5.48,14.09,9.654,5.901,32
data/split/train/FAMILY-100/MOTHER/FM100_M5.png,data/train_distorted/distorted/FAMILY-100/MOTHER/FM100_M5_local.png,FAMILY-100,MOTHER,local,4200441,2.49,5.78,,,
data/split/train/FAMILY-100/MOTHER/FM100_M5.png,data/train_distorted/distorted/FAMILY-100/MOTHER/FM100_M5_bending.png,FAMILY-100,MOTHER,bending,4200442,6.77,11.4,,,
data/split/train/FAMILY-11/CHILD/FM011_C1.png,data/train_distorted/distorted/FAMILY-11/CHILD/FM011_C1_elastic.png,FAMILY-11,CHILD,elastic,4200450,6.87,15.72,11.524,6.225,32
data/split/train/FAMILY-11/CHILD/FM011_C1.png,data/train_distorted/distorted/FAMILY-11/CHILD/FM011_C1_local.png,FAMILY-11,CHILD,local,4200451,4.33,9.43,,,
data/split/train/FAMILY-11/CHILD/FM011_C1.png,data/train_distorted/distorted/FAMILY-11/CHILD/FM011_C1_bending.png,FAMILY-11,CHILD,bending,4200452,6.94,12.01,,,
data/split/train/FAMILY-11/CHILD/FM011_C2.png,data/train_distorted/distorted/FAMILY-11/CHILD/FM011_C2_elastic.png,FAMILY-11,CHILD,elastic,4200460,5.69,15.48,9.95,5.412,32
