type,label,image_a,image_b,family_a,family_b,member,score,raw_score,matched_pairs,decision,minutiae_a,minutiae_b
genuine,1,data/split/test/FAMILY-13/MOTHER/FM013_M2.png,data/split/test/FAMILY-13/MOTHER/FM013_M3.png,FAMILY-13,FAMILY-13,MOTHER,0.34,17.0,0,False,65,60
genuine,1,data/split/test/FAMILY-13/MOTHER/FM013_M2.png,data/split/test/FAMILY-13/MOTHER/FM013_M4.png,FAMILY-13,FAMILY-13,MOTHER,0.3,15.0,0,False,65,51
genuine,1,data/split/test/FAMILY-13/MOTHER/FM013_M2.png,data/split/test/FAMILY-13/MOTHER/FM013_M5.png,FAMILY-13,FAMILY-13,MOTHER,0.08,4.0,0,False,65,18
genuine,1,data/split/test/FAMILY-13/MOTHER/FM013_M3.png,data/split/test/FAMILY-13/MOTHER/FM013_M4.png,FAMILY-13,FAMILY-13,MOTHER,0.46,23.0,0,False,60,51
genuine,1,data/split/test/FAMILY-13/MOTHER/FM013_M3.png,data/split/test/FAMILY-13/MOTHER/FM013_M5.png,FAMILY-13,FAMILY-13,MOTHER,0.12,6.0,0,False,60,18
genuine,1,data/split/test/FAMILY-13/MOTHER/FM013_M4.png,data/split/test/FAMILY-13/MOTHER/FM013_M5.png,FAMILY-13,FAMILY-13,MOTHER,0.14,7.0,0,False,51,18
genuine,1,data/split/test/FAMILY-14/CHILD/FM014_C1.png,data/split/test/FAMILY-14/CHILD/FM014_C2.png,FAMILY-14,FAMILY-14,CHILD,0.44,22.0,0,False,68,58
genuine,1,data/split/test/FAMILY-14/CHILD/FM014_C1.png,data/split/test/FAMILY-14/CHILD/FM014_C3.png,FAMILY-14,FAMILY-14,CHILD,0.6,30.0,0,False,68,83
genuine,1,data/split/test/FAMILY-14/CHILD/FM014_C1.png,data/split/test/FAMILY-14/CHILD/FM014_C4.png,FAMILY-14,FAMILY-14,CHILD,0.32,16.0,0,False,68,86
genuine,1,data/split/test/FAMILY-14/CHILD/FM014_C1.png,data/split/test/FAMILY-14/CHILD/FM014_C5.png,FAMILY-14,FAMILY-14,CHILD,0.22,11.0,0,False,68,75
genuine,1,data/split/test/FAMILY-14/CHILD/FM014_C2.png,data/split/test/FAMILY-14/CHILD/FM014_C3.png,FAMILY-14,FAMILY-14,CHILD,0.76,38.0,0,False,58,83
genuine,1,data/split/test/FAMILY-14/CHILD/FM014_C2.png,data/split/test/FAMILY-14/CHILD/FM014_C4.png,FAMILY-14,FAMILY-14,CHILD,0.44,22.0,0,False,58,86
genuine,1,data/split/test/FAMILY-14/CHILD/FM014_C2.png,data/split/test/FAMILY-14/CHILD/FM014_C5.png,FAMILY-14,FAMILY-14,CHILD,0.4,20.0,0,False,58,75
genuine,1,data/split/test/FAMILY-14/CHILD/FM014_C3.png,data/split/test/FAMILY-14/CHILD/FM014_C4.png,FAMILY-14,FAMILY-14,CHILD,0.42,21.0,0,False,83,86
genuine,1,data/split/test/FAMILY-14/CHILD/FM014_C3.png,data/split/test/FAMILY-14/CHILD/FM014_C5.png,FAMILY-14,FAMILY-14,CHILD,0.38,19.0,0,False,83,75
genuine,1,data/split/test/FAMILY-14/CHILD/FM014_C4.png,data/split/test/FAMILY-14/CHILD/FM014_C5.png,FAMILY-14,FAMILY-14,CHILD,0.36,18.0,0,False,86,75
genuine,1,data/split/test/FAMILY-14/FATHER/FM014_F1.png,data/split/test/FAMILY-14/FATHER/FM014_F2.png,FAMILY-14,FAMILY-14,FATHER,0.36,18.0,0,False,107,37
genuine,1,data/split/test/FAMILY-14/FATHER/FM014_F1.png,data/split/test/FAMILY-14/FATHER/FM014_F3.png,FAMILY-14,FAMILY-14,FATHER,0.1,5.0,0,False,107,23
genuine,1,data/split/test/FAMILY-14/FATHER/FM014_F1.png,data/split/test/FAMILY-14/FATHER/FM014_F4.png,FAMILY-14,FAMILY-14,FATHER,0.76,38.0,0,False,107,88
genuine,1,data/split/test/FAMILY-14/FATHER/FM014_F1.png,data/split/test/FAMILY-14/FATHER/FM014_F5.png,FAMILY-14,FAMILY-14,FATHER,1.0,50.0,0,False,107,113
genuine,1,data/split/test/FAMILY-14/FATHER/FM014_F2.png,data/split/test/FAMILY-14/FATHER/FM014_F3.png,FAMILY-14,FAMILY-14,FATHER,0.14,7.0,0,False,37,23
genuine,1,data/split/test/FAMILY-14/FATHER/FM014_F2.png,data/split/test/FAMILY-14/FATHER/FM014_F4.png,FAMILY-14,FAMILY-14,FATHER,0.28,14.0,0,False,37,88
genuine,1,data/split/test/FAMILY-14/FATHER/FM014_F2.png,data/split/test/FAMILY-14/FATHER/FM014_F5.png,FAMILY-14,FAMILY-14,FATHER,0.24,12.0,0,False,37,113
genuine,1,data/split/test/FAMILY-14/FATHER/FM014_F3.png,data/split/test/FAMILY-14/FATHER/FM014_F4.png,FAMILY-14,FAMILY-14,FATHER,0.08,4.0,0,False,23,88
genuine,1,data/split/test/FAMILY-14/FATHER/FM014_F3.png,data/split/test/FAMILY-14/FATHER/FM014_F5.png,FAMILY-14,FAMILY-14,FATHER,0.1,5.0,0,False,23,113
genuine,1,data/split/test/FAMILY-14/FATHER/FM014_F4.png,data/split/test/FAMILY-14/FATHER/FM014_F5.png,FAMILY-14,FAMILY-14,FATHER,0.76,38.0,0,False,88,113
genuine,1,data/split/test/FAMILY-14/MOTHER/FM014_M1.png,data/split/test/FAMILY-14/MOTHER/FM014_M2.png,FAMILY-14,FAMILY-14,MOTHER,0.42,21.0,0,False,76,60
genuine,1,data/split/test/FAMILY-14/MOTHER/FM014_M1.png,data/split/test/FAMILY-14/MOTHER/FM014_M3.png,FAMILY-14,FAMILY-14,MOTHER,0.48,24.0,0,False,76,71
genuine,1,data/split/test/FAMILY-14/MOTHER/FM014_M1.png,data/split/test/FAMILY-14/MOTHER/FM014_M4.png,FAMILY-14,FAMILY-14,MOTHER,0.32,16.0,0,False,76,69
genuine,1,data/split/test/FAMILY-14/MOTHER/FM014_M1.png,data/split/test/FAMILY-14/MOTHER/FM014_M5.png,FAMILY-14,FAMILY-14,MOTHER,0.68,34.0,0,False,76,91
genuine,1,data/split/test/FAMILY-14/MOTHER/FM014_M2.png,data/split/test/FAMILY-14/MOTHER/FM014_M3.png,FAMILY-14,FAMILY-14,MOTHER,0.36,18.0,0,False,60,71
genuine,1,data/split/test/FAMILY-14/MOTHER/FM014_M2.png,data/split/test/FAMILY-14/MOTHER/FM014_M4.png,FAMILY-14,FAMILY-14,MOTHER,0.42,21.0,0,False,60,69
genuine,1,data/split/test/FAMILY-14/MOTHER/FM014_M2.png,data/split/test/FAMILY-14/MOTHER/FM014_M5.png,FAMILY-14,FAMILY-14,MOTHER,0.48,24.0,0,False,60,91
genuine,1,data/split/test/FAMILY-14/MOTHER/FM014_M3.png,data/split/test/FAMILY-14/MOTHER/FM014_M4.png,FAMILY-14,FAMILY-14,MOTHER,0.34,17.0,0,False,71,69
genuine,1,data/split/test/FAMILY-14/MOTHER/FM014_M3.png,data/split/test/FAMILY-14/MOTHER/FM014_M5.png,FAMILY-14,FAMILY-14,MOTHER,0.7,35.0,0,False,71,91
genuine,1,data/split/test/FAMILY-14/MOTHER/FM014_M4.png,data/split/test/FAMILY-14/MOTHER/FM014_M5.png,FAMILY-14,FAMILY-14,MOTHER,0.42,21.0,0,False,69,91
genuine,1,data/split/test/FAMILY-15/CHILD/FM015_C1.png,data/split/test/FAMILY-15/CHILD/FM015_C2.png,FAMILY-15,FAMILY-15,CHILD,0.2,10.0,0,False,62,48
genuine,1,data/split/test/FAMILY-15/CHILD/FM015_C1.png,data/split/test/FAMILY-15/CHILD/FM015_C3.png,FAMILY-15,FAMILY-15,CHILD,0.24,12.0,0,False,62,57
genuine,1,data/split/test/FAMILY-15/CHILD/FM015_C1.png,data/split/test/FAMILY-15/CHILD/FM015_C4.png,FAMILY-15,FAMILY-15,CHILD,0.28,14.0,0,False,62,60
genuine,1,data/split/test/FAMILY-15/CHILD/FM015_C1.png,data/split/test/FAMILY-15/CHILD/FM015_C5.png,FAMILY-15,FAMILY-15,CHILD,0.3,15.0,0,False,62,41
genuine,1,data/split/test/FAMILY-15/CHILD/FM015_C2.png,data/split/test/FAMILY-15/CHILD/FM015_C3.png,FAMILY-15,FAMILY-15,CHILD,0.32,16.0,0,False,48,57
genuine,1,data/split/test/FAMILY-15/CHILD/FM015_C2.png,data/split/test/FAMILY-15/CHILD/FM015_C4.png,FAMILY-15,FAMILY-15,CHILD,0.26,13.0,0,False,48,60
genuine,1,data/split/test/FAMILY-15/CHILD/FM015_C2.png,data/split/test/FAMILY-15/CHILD/FM015_C5.png,FAMILY-15,FAMILY-15,CHILD,0.14,7.0,0,False,48,41
genuine,1,data/split/test/FAMILY-15/CHILD/FM015_C3.png,data/split/test/FAMILY-15/CHILD/FM015_C4.png,FAMILY-15,FAMILY-15,CHILD,0.3,15.0,0,False,57,60
genuine,1,data/split/test/FAMILY-15/CHILD/FM015_C3.png,data/split/test/FAMILY-15/CHILD/FM015_C5.png,FAMILY-15,FAMILY-15,CHILD,0.2,10.0,0,False,57,41
genuine,1,data/split/test/FAMILY-15/CHILD/FM015_C4.png,data/split/test/FAMILY-15/CHILD/FM015_C5.png,FAMILY-15,FAMILY-15,CHILD,0.36,18.0,0,False,60,41
genuine,1,data/split/test/FAMILY-15/FATHER/FM015_F1.png,data/split/test/FAMILY-15/FATHER/FM015_F2.png,FAMILY-15,FAMILY-15,FATHER,0.04,2.0,0,False,54,17
genuine,1,data/split/test/FAMILY-15/FATHER/FM015_F1.png,data/split/test/FAMILY-15/FATHER/FM015_F3.png,FAMILY-15,FAMILY-15,FATHER,0.1,5.0,0,False,54,19
genuine,1,data/split/test/FAMILY-15/FATHER/FM015_F1.png,data/split/test/FAMILY-15/FATHER/FM015_F4.png,FAMILY-15,FAMILY-15,FATHER,0.08,4.0,0,False,54,20
genuine,1,data/split/test/FAMILY-15/FATHER/FM015_F1.png,data/split/test/FAMILY-15/FATHER/FM015_F5.png,FAMILY-15,FAMILY-15,FATHER,0.0,0.0,0,False,54,14
genuine,1,data/split/test/FAMILY-15/FATHER/FM015_F2.png,data/split/test/FAMILY-15/FATHER/FM015_F3.png,FAMILY-15,FAMILY-15,FATHER,0.02,1.0,0,False,17,19
genuine,1,data/split/test/FAMILY-15/FATHER/FM015_F2.png,data/split/test/FAMILY-15/FATHER/FM015_F4.png,FAMILY-15,FAMILY-15,FATHER,0.04,2.0,0,False,17,20
genuine,1,data/split/test/FAMILY-15/FATHER/FM015_F2.png,data/split/test/FAMILY-15/FATHER/FM015_F5.png,FAMILY-15,FAMILY-15,FATHER,0.0,0.0,0,False,17,14
genuine,1,data/split/test/FAMILY-15/FATHER/FM015_F3.png,data/split/test/FAMILY-15/FATHER/FM015_F4.png,FAMILY-15,FAMILY-15,FATHER,0.06,3.0,0,False,19,20
genuine,1,data/split/test/FAMILY-15/FATHER/FM015_F3.png,data/split/test/FAMILY-15/FATHER/FM015_F5.png,FAMILY-15,FAMILY-15,FATHER,0.0,0.0,0,False,19,14
genuine,1,data/split/test/FAMILY-15/FATHER/FM015_F4.png,data/split/test/FAMILY-15/FATHER/FM015_F5.png,FAMILY-15,FAMILY-15,FATHER,0.0,0.0,0,False,20,14
genuine,1,data/split/test/FAMILY-15/MOTHER/FM015_M1.png,data/split/test/FAMILY-15/MOTHER/FM015_M2.png,FAMILY-15,FAMILY-15,MOTHER,0.16,8.0,0,False,48,28
genuine,1,data/split/test/FAMILY-15/MOTHER/FM015_M1.png,data/split/test/FAMILY-15/MOTHER/FM015_M3.png,FAMILY-15,FAMILY-15,MOTHER,0.0,0.0,0,False,48,7
genuine,1,data/split/test/FAMILY-15/MOTHER/FM015_M1.png,data/split/test/FAMILY-15/MOTHER/FM015_M4.png,FAMILY-15,FAMILY-15,MOTHER,0.18,9.0,0,False,48,42
genuine,1,data/split/test/FAMILY-15/MOTHER/FM015_M1.png,data/split/test/FAMILY-15/MOTHER/FM015_M5.png,FAMILY-15,FAMILY-15,MOTHER,0.2,10.0,0,False,48,34
genuine,1,data/split/test/FAMILY-15/MOTHER/FM015_M2.png,data/split/test/FAMILY-15/MOTHER/FM015_M3.png,FAMILY-15,FAMILY-15,MOTHER,0.0,0.0,0,False,28,7
genuine,1,data/split/test/FAMILY-15/MOTHER/FM015_M2.png,data/split/test/FAMILY-15/MOTHER/FM015_M4.png,FAMILY-15,FAMILY-15,MOTHER,0.16,8.0,0,False,28,42
genuine,1,data/split/test/FAMILY-15/MOTHER/FM015_M2.png,data/split/test/FAMILY-15/MOTHER/FM015_M5.png,FAMILY-15,FAMILY-15,MOTHER,0.14,7.0,0,False,28,34
genuine,1,data/split/test/FAMILY-15/MOTHER/FM015_M3.png,data/split/test/FAMILY-15/MOTHER/FM015_M4.png,FAMILY-15,FAMILY-15,MOTHER,0.0,0.0,0,False,7,42
genuine,1,data/split/test/FAMILY-15/MOTHER/FM015_M3.png,data/split/test/FAMILY-15/MOTHER/FM015_M5.png,FAMILY-15,FAMILY-15,MOTHER,0.0,0.0,0,False,7,34
genuine,1,data/split/test/FAMILY-15/MOTHER/FM015_M4.png,data/split/test/FAMILY-15/MOTHER/FM015_M5.png,FAMILY-15,FAMILY-15,MOTHER,0.24,12.0,0,False,42,34
genuine,1,data/split/test/FAMILY-20/CHILD/FM020_C1.png,data/split/test/FAMILY-20/CHILD/FM020_C2.png,FAMILY-20,FAMILY-20,CHILD,0.0,0.0,0,False,8,0
genuine,1,data/split/test/FAMILY-20/CHILD/FM020_C1.png,data/split/test/FAMILY-20/CHILD/FM020_C3.png,FAMILY-20,FAMILY-20,CHILD,0.0,0.0,0,False,8,9
genuine,1,data/split/test/FAMILY-20/CHILD/FM020_C1.png,data/split/test/FAMILY-20/CHILD/FM020_C4.png,FAMILY-20,FAMILY-20,CHILD,0.0,0.0,0,False,8,2
genuine,1,data/split/test/FAMILY-20/CHILD/FM020_C1.png,data/split/test/FAMILY-20/CHILD/FM020_C5.png,FAMILY-20,FAMILY-20,CHILD,0.0,0.0,0,False,8,0
genuine,1,data/split/test/FAMILY-20/CHILD/FM020_C2.png,data/split/test/FAMILY-20/CHILD/FM020_C3.png,FAMILY-20,FAMILY-20,CHILD,0.0,0.0,0,False,0,9
genuine,1,data/split/test/FAMILY-20/CHILD/FM020_C2.png,data/split/test/FAMILY-20/CHILD/FM020_C4.png,FAMILY-20,FAMILY-20,CHILD,0.0,0.0,0,False,0,2
genuine,1,data/split/test/FAMILY-20/CHILD/FM020_C2.png,data/split/test/FAMILY-20/CHILD/FM020_C5.png,FAMILY-20,FAMILY-20,CHILD,0.0,0.0,0,False,0,0
genuine,1,data/split/test/FAMILY-20/CHILD/FM020_C3.png,data/split/test/FAMILY-20/CHILD/FM020_C4.png,FAMILY-20,FAMILY-20,CHILD,0.0,0.0,0,False,9,2
genuine,1,data/split/test/FAMILY-20/CHILD/FM020_C3.png,data/split/test/FAMILY-20/CHILD/FM020_C5.png,FAMILY-20,FAMILY-20,CHILD,0.0,0.0,0,False,9,0
genuine,1,data/split/test/FAMILY-20/CHILD/FM020_C4.png,data/split/test/FAMILY-20/CHILD/FM020_C5.png,FAMILY-20,FAMILY-20,CHILD,0.0,0.0,0,False,2,0
genuine,1,data/split/test/FAMILY-20/FATHER/FM020_F1.png,data/split/test/FAMILY-20/FATHER/FM020_F2.png,FAMILY-20,FAMILY-20,FATHER,0.0,0.0,0,False,2,6
genuine,1,data/split/test/FAMILY-20/FATHER/FM020_F1.png,data/split/test/FAMILY-20/FATHER/FM020_F3.png,FAMILY-20,FAMILY-20,FATHER,0.0,0.0,0,False,2,2
genuine,1,data/split/test/FAMILY-20/FATHER/FM020_F1.png,data/split/test/FAMILY-20/FATHER/FM020_F4.png,FAMILY-20,FAMILY-20,FATHER,0.0,0.0,0,False,2,6
genuine,1,data/split/test/FAMILY-20/FATHER/FM020_F1.png,data/split/test/FAMILY-20/FATHER/FM020_F5.png,FAMILY-20,FAMILY-20,FATHER,0.0,0.0,0,False,2,12
genuine,1,data/split/test/FAMILY-20/FATHER/FM020_F2.png,data/split/test/FAMILY-20/FATHER/FM020_F3.png,FAMILY-20,FAMILY-20,FATHER,0.0,0.0,0,False,6,2
genuine,1,data/split/test/FAMILY-20/FATHER/FM020_F2.png,data/split/test/FAMILY-20/FATHER/FM020_F4.png,FAMILY-20,FAMILY-20,FATHER,0.0,0.0,0,False,6,6
genuine,1,data/split/test/FAMILY-20/FATHER/FM020_F2.png,data/split/test/FAMILY-20/FATHER/FM020_F5.png,FAMILY-20,FAMILY-20,FATHER,0.0,0.0,0,False,6,12
genuine,1,data/split/test/FAMILY-20/FATHER/FM020_F3.png,data/split/test/FAMILY-20/FATHER/FM020_F4.png,FAMILY-20,FAMILY-20,FATHER,0.0,0.0,0,False,2,6
genuine,1,data/split/test/FAMILY-20/FATHER/FM020_F3.png,data/split/test/FAMILY-20/FATHER/FM020_F5.png,FAMILY-20,FAMILY-20,FATHER,0.0,0.0,0,False,2,12
genuine,1,data/split/test/FAMILY-20/FATHER/FM020_F4.png,data/split/test/FAMILY-20/FATHER/FM020_F5.png,FAMILY-20,FAMILY-20,FATHER,0.0,0.0,0,False,6,12
genuine,1,data/split/test/FAMILY-20/MOTHER/FM020_M1.png,data/split/test/FAMILY-20/MOTHER/FM020_M2.png,FAMILY-20,FAMILY-20,MOTHER,0.0,0.0,0,False,3,2
genuine,1,data/split/test/FAMILY-20/MOTHER/FM020_M1.png,data/split/test/FAMILY-20/MOTHER/FM020_M3.png,FAMILY-20,FAMILY-20,MOTHER,0.0,0.0,0,False,3,1
genuine,1,data/split/test/FAMILY-20/MOTHER/FM020_M1.png,data/split/test/FAMILY-20/MOTHER/FM020_M4.png,FAMILY-20,FAMILY-20,MOTHER,0.0,0.0,0,False,3,7
genuine,1,data/split/test/FAMILY-20/MOTHER/FM020_M1.png,data/split/test/FAMILY-20/MOTHER/FM020_M5.png,FAMILY-20,FAMILY-20,MOTHER,0.0,0.0,0,False,3,1
genuine,1,data/split/test/FAMILY-20/MOTHER/FM020_M2.png,data/split/test/FAMILY-20/MOTHER/FM020_M3.png,FAMILY-20,FAMILY-20,MOTHER,0.0,0.0,0,False,2,1
genuine,1,data/split/test/FAMILY-20/MOTHER/FM020_M2.png,data/split/test/FAMILY-20/MOTHER/FM020_M4.png,FAMILY-20,FAMILY-20,MOTHER,0.0,0.0,0,False,2,7
genuine,1,data/split/test/FAMILY-20/MOTHER/FM020_M2.png,data/split/test/FAMILY-20/MOTHER/FM020_M5.png,FAMILY-20,FAMILY-20,MOTHER,0.0,0.0,0,False,2,1
genuine,1,data/split/test/FAMILY-20/MOTHER/FM020_M3.png,data/split/test/FAMILY-20/MOTHER/FM020_M4.png,FAMILY-20,FAMILY-20,MOTHER,0.0,0.0,0,False,1,7
genuine,1,data/split/test/FAMILY-20/MOTHER/FM020_M3.png,data/split/test/FAMILY-20/MOTHER/FM020_M5.png,FAMILY-20,FAMILY-20,MOTHER,0.0,0.0,0,False,1,1
genuine,1,data/split/test/FAMILY-20/MOTHER/FM020_M4.png,data/split/test/FAMILY-20/MOTHER/FM020_M5.png,FAMILY-20,FAMILY-20,MOTHER,0.0,0.0,0,False,7,1
genuine,1,data/split/test/FAMILY-23/CHILD/FM023_C1.png,data/split/test/FAMILY-23/CHILD/FM023_C2.png,FAMILY-23,FAMILY-23,CHILD,0.02,1.0,0,False,16,18
genuine,1,data/split/test/FAMILY-23/CHILD/FM023_C1.png,data/split/test/FAMILY-23/CHILD/FM023_C3.png,FAMILY-23,FAMILY-23,CHILD,0.14,7.0,0,False,16,22
genuine,1,data/split/test/FAMILY-23/CHILD/FM023_C1.png,data/split/test/FAMILY-23/CHILD/FM023_C4.png,FAMILY-23,FAMILY-23,CHILD,0.0,0.0,0,False,16,6
genuine,1,data/split/test/FAMILY-23/CHILD/FM023_C1.png,data/split/test/FAMILY-23/CHILD/FM023_C5.png,FAMILY-23,FAMILY-23,CHILD,0.0,0.0,0,False,16,12
genuine,1,data/split/test/FAMILY-23/CHILD/FM023_C2.png,data/split/test/FAMILY-23/CHILD/FM023_C3.png,FAMILY-23,FAMILY-23,CHILD,0.04,2.0,0,False,18,22
genuine,1,data/split/test/FAMILY-23/CHILD/FM023_C2.png,data/split/test/FAMILY-23/CHILD/FM023_C4.png,FAMILY-23,FAMILY-23,CHILD,0.0,0.0,0,False,18,6
genuine,1,data/split/test/FAMILY-23/CHILD/FM023_C2.png,data/split/test/FAMILY-23/CHILD/FM023_C5.png,FAMILY-23,FAMILY-23,CHILD,0.0,0.0,0,False,18,12
genuine,1,data/split/test/FAMILY-23/CHILD/FM023_C3.png,data/split/test/FAMILY-23/CHILD/FM023_C4.png,FAMILY-23,FAMILY-23,CHILD,0.0,0.0,0,False,22,6
genuine,1,data/split/test/FAMILY-23/CHILD/FM023_C3.png,data/split/test/FAMILY-23/CHILD/FM023_C5.png,FAMILY-23,FAMILY-23,CHILD,0.0,0.0,0,False,22,12
genuine,1,data/split/test/FAMILY-23/CHILD/FM023_C4.png,data/split/test/FAMILY-23/CHILD/FM023_C5.png,FAMILY-23,FAMILY-23,CHILD,0.0,0.0,0,False,6,12
genuine,1,data/split/test/FAMILY-23/FATHER/FM023_F1.png,data/split/test/FAMILY-23/FATHER/FM023_F2.png,FAMILY-23,FAMILY-23,FATHER,0.18,9.0,0,False,30,56
genuine,1,data/split/test/FAMILY-23/FATHER/FM023_F1.png,data/split/test/FAMILY-23/FATHER/FM023_F3.png,FAMILY-23,FAMILY-23,FATHER,0.3,15.0,0,False,30,83
genuine,1,data/split/test/FAMILY-23/FATHER/FM023_F1.png,data/split/test/FAMILY-23/FATHER/FM023_F4.png,FAMILY-23,FAMILY-23,FATHER,0.26,13.0,0,False,30,40
genuine,1,data/split/test/FAMILY-23/FATHER/FM023_F1.png,data/split/test/FAMILY-23/FATHER/FM023_F5.png,FAMILY-23,FAMILY-23,FATHER,0.14,7.0,0,False,30,88
genuine,1,data/split/test/FAMILY-23/FATHER/FM023_F2.png,data/split/test/FAMILY-23/FATHER/FM023_F3.png,FAMILY-23,FAMILY-23,FATHER,0.34,17.0,0,False,56,83
genuine,1,data/split/test/FAMILY-23/FATHER/FM023_F2.png,data/split/test/FAMILY-23/FATHER/FM023_F4.png,FAMILY-23,FAMILY-23,FATHER,0.16,8.0,0,False,56,40
genuine,1,data/split/test/FAMILY-23/FATHER/FM023_F2.png,data/split/test/FAMILY-23/FATHER/FM023_F5.png,FAMILY-23,FAMILY-23,FATHER,0.48,24.0,0,False,56,88
genuine,1,data/split/test/FAMILY-23/FATHER/FM023_F3.png,data/split/test/FAMILY-23/FATHER/FM023_F4.png,FAMILY-23,FAMILY-23,FATHER,0.28,14.0,0,False,83,40
genuine,1,data/split/test/FAMILY-23/FATHER/FM023_F3.png,data/split/test/FAMILY-23/FATHER/FM023_F5.png,FAMILY-23,FAMILY-23,FATHER,0.52,26.0,0,False,83,88
