rank,filename,family,member,probability,logit,predicted_class,path
18,FM015_C4.png,FAMILY-15,CHILD,0.6767120452939419,0.7387024164199827,DISTORTED,data\split\test\FAMILY-15\CHILD\FM015_C4.png
19,FM078_F5.png,FAMILY-78,FATHER,0.6736060228497633,0.7245402336120605,DISTORTED,data\split\test\FAMILY-78\FATHER\FM078_F5.png
20,FM054_F2.png,FAMILY-54,FATHER,0.6729671861609702,0.7216360569000246,DISTORTED,data\split\test\FAMILY-54\FATHER\FM054_F2.png
21,FM036_M2.png,FAMILY-36,MOTHER,0.671205251073315,0.713641285896301,DISTORTED,data\split\test\FAMILY-36\MOTHER\FM036_M2.png
22,FM054_C2.png,FAMILY-54,CHILD,0.6621948586611421,0.6730906367301936,DISTORTED,data\split\test\FAMILY-54\CHILD\FM054_C2.png
23,FM036_F2.png,FAMILY-36,FATHER,0.648843105361081,0.6139578223228453,DISTORTED,data\split\test\FAMILY-36\FATHER\FM036_F2.png
24,FM065_M5.png,FAMILY-65,MOTHER,0.6419453076408652,0.5838173627853398,DISTORTED,data\split\test\FAMILY-65\MOTHER\FM065_M5.png
25,FM065_M1.png,FAMILY-65,MOTHER,0.6199842814462981,0.489481508731842,DISTORTED,data\split\test\FAMILY-65\MOTHER\FM065_M1.png
26,FM065_C3.png,FAMILY-65,CHILD,0.610102754319444,0.44774416089057917,DISTORTED,data\split\test\FAMILY-65\CHILD\FM065_C3.png
27,FM048_C3.png,FAMILY-48,CHILD,0.5843352381953849,0.34059578180313127,DISTORTED,data\split\test\FAMILY-48\CHILD\FM048_C3.png
28,FM020_C4.png,FAMILY-20,CHILD,0.5829068769728818,0.33471792936325073,DISTORTED,data\split\test\FAMILY-20\CHILD\FM020_C4.png
29,FM015_M3.png,FAMILY-15,MOTHER,0.5805137806520274,0.3248828649520877,DISTORTED,data\split\test\FAMILY-15\MOTHER\FM015_M3.png
30,FM036_F1.png,FAMILY-36,FATHER,0.5715833476919661,0.2883141040801998,DISTORTED,data\split\test\FAMILY-36\FATHER\FM036_F1.png
31,FM020_M5.png,FAMILY-20,MOTHER,0.5701931704180393,0.28263932466506964,DISTORTED,data\split\test\FAMILY-20\MOTHER\FM020_M5.png
32,FM020_M3.png,FAMILY-20,MOTHER,0.5618674671211003,0.24874454736709578,DISTORTED,data\split\test\FAMILY-20\MOTHER\FM020_M3.png
33,FM078_M5.png,FAMILY-78,MOTHER,0.5544783203674494,0.21878179907798762,DISTORTED,data\split\test\FAMILY-78\MOTHER\FM078_M5.png
34,FM009_C3.png,FAMILY-9,CHILD,0.5396633754252712,0.15898755192756667,DISTORTED,data\split\test\FAMILY-9\CHILD\FM009_C3.png
35,FM020_M2.png,FAMILY-20,MOTHER,0.5353446568210516,0.14161482453346252,DISTORTED,data\split\test\FAMILY-20\MOTHER\FM020_M2.png
36,FM015_C3.png,FAMILY-15,CHILD,0.5321969619725935,0.12896630167961126,DISTORTED,data\split\test\FAMILY-15\CHILD\FM015_C3.png
37,FM036_M5.png,FAMILY-36,MOTHER,0.5311754585906225,0.1248638108372686,DISTORTED,data\split\test\FAMILY-36\MOTHER\FM036_M5.png
38,FM020_C5.png,FAMILY-20,CHILD,0.5267852046014307,0.10724348574876796,DISTORTED,data\split\test\FAMILY-20\CHILD\FM020_C5.png
39,FM054_M3.png,FAMILY-54,MOTHER,0.5260582049230641,0.10432734340429303,DISTORTED,data\split\test\FAMILY-54\MOTHER\FM054_M3.png
40,FM020_F3.png,FAMILY-20,FATHER,0.5248674987301344,0.0995521321892739,DISTORTED,data\split\test\FAMILY-20\FATHER\FM020_F3.png
41,FM065_C1.png,FAMILY-65,CHILD,0.5245271281568994,0.09818731993436809,DISTORTED,data\split\test\FAMILY-65\CHILD\FM065_C1.png
42,FM020_C3.png,FAMILY-20,CHILD,0.5232204962697621,0.09294884651899347,DISTORTED,data\split\test\FAMILY-20\CHILD\FM020_C3.png
43,FM078_C1.png,FAMILY-78,CHILD,0.5087560403514303,0.03502774238586453,DISTORTED,data\split\test\FAMILY-78\CHILD\FM078_C1.png
44,FM015_C5.png,FAMILY-15,CHILD,0.5017290409650277,0.006916191428899891,DISTORTED,data\split\test\FAMILY-15\CHILD\FM015_C5.png
45,FM054_C5.png,FAMILY-54,CHILD,0.497361921970777,-0.010552410036325647,DISTORTED,data\split\test\FAMILY-54\CHILD\FM054_C5.png
46,FM048_C5.png,FAMILY-48,CHILD,0.4954360156421125,-0.01825644448399577,DISTORTED,data\split\test\FAMILY-48\CHILD\FM048_C5.png
47,FM078_C4.png,FAMILY-78,CHILD,0.4931456116945312,-0.027419270947575874,DISTORTED,data\split\test\FAMILY-78\CHILD\FM078_C4.png
48,FM048_C2.png,FAMILY-48,CHILD,0.4877692836293668,-0.04893262684345251,DISTORTED,data\split\test\FAMILY-48\CHILD\FM048_C2.png
49,FM078_M4.png,FAMILY-78,MOTHER,0.4876736740041654,-0.049315296113491044,DISTORTED,data\split\test\FAMILY-78\MOTHER\FM078_M4.png
50,FM020_F2.png,FAMILY-20,FATHER,0.4843451101036216,-0.06264003366231938,DISTORTED,data\split\test\FAMILY-20\FATHER\FM020_F2.png
